Position,Const,Created,Modified,Description,Name,Known For,Birth Date
36,nm0001837,2012-08-04,2012-12-16,9673 points,Peter Weir,Master and Commander: The Far Side of the World,1944-08-21
37,nm0027572,2013-07-14,2015-01-20,9600 points,Wes Anderson,Fantastic Mr. Fox,1969-05-01
38,nm0000231,2012-08-04,2017-04-13,9596 points,Oliver Stone,JFK,1946-09-15
39,nm0001129,2012-08-05,2016-01-02,9338 points,Jonathan Demme,The Silence of the Lambs,1944-02-22
40,nm0893659,2012-08-11,2012-08-12,9181 points,Gore Verbinski,Rango,1964-03-16
41,nm0898288,2017-04-04,2017-04-04,9026 points,Denis Villeneuve,Dune: Part One,1967-10-03
42,nm0190859,2014-01-04,2016-03-27,8784 points,Alfonso Cuarón,Gravity,1961-11-28
43,nm0796117,2012-08-11,2012-08-11,8703 points,M. Night Shyamalan,Lady in the Water,1970-08-06
44,nm0001661,2012-08-04,2013-05-05,8609 points,Rob Reiner,All in the Family,1947-03-06
45,nm0000487,2012-08-12,2016-04-20,8575 points,Ang Lee,Wo hu cang long,1954-10-23
46,nm0001486,2012-07-28,2017-05-28,8548 points,Sidney Lumet,12 Angry Men,1924-06-25
47,nm0000697,2012-07-27,2012-08-04,8099 points,Billy Wilder,The Apartment,1906-06-22
48,nm0680846,2012-08-19,2013-04-19,8054 points,Todd Phillips,Joker,1970-12-20
49,nm3227090,2017-05-30,2017-05-30,7996 points,Damien Chazelle,Whiplash,1985-01-19
50,nm0718646,2012-08-18,2015-05-09,7759 points,Jason Reitman,Up in the Air,1977-10-19
51,nm0878763,2015-06-20,2017-04-27,7676 points,Morten Tyldum,Hodejegerne,1967-05-19
52,nm0443411,2012-08-10,2014-04-30,7448 points,Tony Kaye,Detachment,
53,nm0003506,2012-08-18,2017-10-11,7327 points,James Mangold,Logan,1963-12-16
54,nm0000186,2012-08-04,2015-05-29,7311 points,David Lynch,Twin Peaks,1946-01-20
55,nm0000759,2012-08-11,2013-05-10,7217 points,Paul Thomas Anderson,Punch-Drunk Love,1970-06-26
56,nm0000361,2012-08-03,2015-06-24,7213 points,Brian De Palma,Phantom of the Paradise,1940-09-11
57,nm0005069,2014-09-27,2014-09-27,7213 points,Spike Jonze,Her,1969-10-22
58,nm0000184,2012-07-29,2012-08-03,7200 points,George Lucas,Star Wars,1944-05-14
59,nm0001392,2012-08-11,2015-05-25,7109 points,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,1961-10-31
60,nm0525303,2012-08-11,2014-01-04,6963 points,Baz Luhrmann,Moulin Rouge!,1962-09-17
61,nm0000041,2012-07-27,2017-11-09,6921 points,Akira Kurosawa,Kakushi-toride no san-akunin,1910-03-23
62,nm1698571,2016-01-28,2016-01-28,6884 points,Evan Goldberg,This Is the End,1982-05-11
63,nm0001469,2013-04-29,2015-03-17,6712 points,Barry Levinson,Rain Man,1942-04-06
64,nm0005124,2012-08-06,2012-08-11,6700 points,John Lasseter,Toy Story 2,1957-01-12
65,nm0001814,2012-08-06,2015-10-25,6619 points,Gus Van Sant,Elephant,1952-07-24
66,nm0000416,2012-08-03,2015-10-25,6612 points,Terry Gilliam,Brazil,1940-11-22
67,nm0576987,2012-08-11,2014-05-24,6441 points,Fernando Meirelles,The Constant Gardener,1955-11-09
68,nm0000948,2014-07-19,2014-07-19,6416 points,Shane Black,The Nice Guys,1961-12-16
69,nm0574625,2012-08-12,2012-08-12,6416 points,James McTeigue,V for Vendetta,
70,nm0000881,2013-03-29,2014-04-11,6405 points,Michael Bay,Armageddon,1965-02-17
71,nm0000500,2014-01-04,2015-01-20,6403 points,Richard Linklater,Waking Life,1960-07-30
72,nm0000386,2017-02-07,2017-02-07,6266 points,Roland Emmerich,Independence Day,1955-11-10
73,nm0002657,2013-11-22,2013-11-22,6225 points,Gary Ross,The Hunger Games,1956-11-03
74,nm0751102,2014-02-22,2016-07-14,6188 points,David O. Russell,American Hustle,1958-08-20
75,nm0327273,2012-08-12,2012-08-18,6180 points,Michel Gondry,Eternal Sunshine of the Spotless Mind,1963-05-08
76,nm0001081,2012-08-06,2013-10-25,6071 points,Cameron Crowe,Almost Famous,1957-07-13
77,nm0393799,2013-02-24,2016-07-21,6018 points,Tom Hooper,Cats,1972-10-05
78,nm0001741,2012-08-06,2014-05-31,5891 points,Bryan Singer,X-Men,1965-09-17
79,nm0000255,2012-08-26,2013-03-03,5888 points,Ben Affleck,Argo,1972-08-15
80,nm0353673,2012-08-12,2012-08-26,5808 points,Paul Haggis,Crash,1953-03-10
81,nm0286975,2012-08-12,2013-01-12,5699 points,Marc Forster,World War Z,1969-11-30
82,nm0942504,2012-08-18,2013-08-10,5564 points,Joe Wright,Pride & Prejudice,1972-08-25
83,nm0001566,2012-07-28,2014-08-16,5441 points,Mike Nichols,The Graduate,1931-11-06
84,nm0000264,2017-07-07,2017-07-07,5439 points,Pedro Almodóvar,Hable con ella,1949-09-25
85,nm0878756,2012-09-01,2013-11-01,5435 points,Tom Tykwer,Lola rennt,1965-05-23
86,nm0000490,2012-08-12,2016-06-01,5391 points,Spike Lee,Do the Right Thing,1957-03-20
87,nm0001402,2012-08-03,2012-08-04,5242 points,Terry Jones,Monty Python and the Holy Grail,1942-02-01
88,nm1429471,2017-05-09,2017-05-09,5239 points,Jaume Collet-Serra,The Shallows,1974-03-23
89,nm0083348,2016-04-19,2016-04-19,5134 points,Brad Bird,The Incredibles,1957-09-24
90,nm0001708,2016-05-18,2016-05-18,5093 points,Joel Schumacher,The Phantom of the Opera,1939-08-29
91,nm0000941,2012-08-18,2013-03-01,5058 points,Kathryn Bigelow,The Hurt Locker,1951-11-27
92,nm0009190,2015-12-08,2015-12-08,5050 points,J.J. Abrams,Lost,1966-06-27
93,nm0629272,2015-04-04,2015-07-27,4995 points,Andrew Niccol,Gattaca,1964-06-10
94,nm0001565,2012-08-12,2014-01-03,4969 points,Mike Newell,Four Weddings and a Funeral,1942-03-28
95,nm0891216,2015-08-25,2015-08-25,4964 points,Matthew Vaughn,Kick-Ass,1971-03-07
96,nm0000583,2012-08-04,2016-04-30,4956 points,Wolfgang Petersen,Das Boot,1941-03-14
97,nm0510731,2016-07-13,2016-07-13,4938 points,Doug Liman,Edge of Tomorrow,1965-07-24
98,nm0000343,2012-08-26,2015-03-01,4925 points,David Cronenberg,The Fly,1943-03-15
99,nm0583600,2016-10-07,2016-10-07,4856 points,Nancy Meyers,It's Complicated,1949-12-08
100,nm0002031,2012-07-26,2016-10-08,4853 points,Michael Curtiz,Casablanca,1886-12-24
101,nm0281808,2012-07-26,2012-07-27,4806 points,Victor Fleming,Gone with the Wind,1889-02-23
102,nm0132709,2014-09-16,2014-09-16,4754 points,Martin Campbell,Casino Royale,1943-10-24
103,nm0000436,2012-08-06,2012-08-06,4750 points,Curtis Hanson,L.A. Confidential,1945-03-24
104,nm0000464,2015-02-02,2017-06-23,4722 points,Jim Jarmusch,Broken Flowers,1953-01-22
105,nm0000080,2016-11-25,2017-07-06,4715 points,Orson Welles,Citizen Kane,1915-05-06
106,nm0001008,2016-04-29,2017-05-28,4690 points,Frank Capra,It's a Wonderful Life,1897-05-18
107,nm0001880,2015-05-08,2015-05-08,4613 points,Edward Zwick,The Last Samurai,1952-10-08
108,nm0000122,2012-07-26,2017-05-07,4601 points,Charles Chaplin,The Great Dictator,1889-04-16
109,nm0551128,2016-01-02,2016-01-02,4593 points,Rob Marshall,Mary Poppins Returns,1960-10-17
110,nm0446819,2012-09-20,2012-09-20,4589 points,Richard Kelly,Donnie Darko,1975-03-28
111,nm0313623,2012-08-12,2017-10-05,4572 points,Terry George,Hotel Rwanda,1952-12-20
112,nm0339030,2014-01-04,2017-04-18,4544 points,Paul Greengrass,United 93,1955-08-13
113,nm1349522,2017-11-13,2017-11-13,4501 points,Jonathan Levine,50/50,
114,nm0885249,2014-07-20,2016-05-03,4462 points,Jean-Marc Vallée,C.R.A.Z.Y.,1963-03-09
115,nm0001024,2012-08-12,2012-08-19,4449 points,Nick Cassavetes,Face/Off,1959-05-21
116,nm0000601,2012-08-05,2012-11-04,4397 points,Harold Ramis,Ghostbusters,1944-11-21
117,nm0002120,2012-08-11,2014-01-26,4255 points,Lasse Hallström,What's Eating Gilbert Grape,1946-06-02
118,nm0000517,2012-08-26,2016-01-24,4246 points,Terrence Malick,Badlands,1943-11-30
119,nm0000180,2012-07-27,2017-07-08,4217 points,David Lean,Lawrence of Arabia,1908-03-25
120,nm0002044,2012-08-12,2017-01-03,4146 points,Roger Donaldson,The World's Fastest Indian,1945-11-15
121,nm0668247,2014-06-07,2014-06-07,4134 points,Alexander Payne,Nebraska,1961-02-10
122,nm0716347,2012-08-26,2016-06-02,4116 points,Nicolas Winding Refn,The Neon Demon,1970-09-29
123,nm0001068,2012-08-11,2012-08-26,4095 points,Sofia Coppola,The Godfather Part III,1971-05-14
124,nm0298807,2015-05-30,2015-05-30,4019 points,Antoine Fuqua,The Magnificent Seven,1965-05-30
125,nm0001885,2012-11-24,2013-10-05,3999 points,Lars von Trier,Dancer in the Dark,1956-04-30
126,nm0006904,2014-02-07,2016-07-29,3985 points,Tony Gilroy,Michael Clayton,1956-09-11
127,nm0001379,2012-07-27,2017-10-02,3943 points,John Huston,The Treasure of the Sierra Madre,1906-08-05
128,nm0000005,2013-09-07,2017-05-20,3938 points,Ingmar Bergman,Persona,1918-07-14
129,nm1139726,2012-08-26,2012-08-26,3926 points,Neil Burger,Divergent,
130,nm0005366,2012-08-12,2013-01-04,3907 points,Jay Roach,Trumbo,1957-06-14
131,nm0000570,2012-08-04,2013-03-31,3893 points,Alan Parker,Evita,1944-02-14
132,nm1512910,2012-08-26,2012-08-26,3858 points,Duncan Jones,Moon,1971-05-30
133,nm0001328,2012-07-26,2016-12-03,3830 points,Howard Hawks,Rio Bravo,1896-05-30
134,nm0000431,2012-12-15,2017-10-31,3810 points,Taylor Hackford,Ray,1944-12-31
135,nm0024622,2012-08-11,2012-08-12,3790 points,Alejandro Amenábar,The Others,1972-03-31
136,nm0001243,2012-07-29,2017-09-21,3707 points,William Friedkin,To Live and Die in L.A.,1935-08-29
137,nm0397174,2017-01-15,2017-01-15,3695 points,Byron Howard,Zootopia,1968-12-26
138,nm0601781,2017-01-15,2017-01-15,3695 points,Rich Moore,Wreck-It Ralph,1963-05-10
139,nm0661791,2012-08-11,2017-03-21,3653 points,Park Chan-wook,Oldeuboi,1963-08-23
140,nm0868219,2012-08-12,2012-08-12,3651 points,Guillermo del Toro,El laberinto del fauno,1964-10-09
141,nm0001628,2012-07-29,2015-12-14,3623 points,Sydney Pollack,Tootsie,1934-07-01
142,nm0565336,2016-04-17,2016-04-17,3622 points,Tom McCarthy,Win Win,1966-06-07
143,nm0000957,2014-01-24,2014-01-24,3622 points,Jan de Bont,Speed,1943-10-22
144,nm0587955,2012-08-26,2015-10-24,3621 points,Bennett Miller,Foxcatcher,1966-12-30
145,nm0943758,2012-07-26,2017-04-19,3615 points,William Wyler,The Best Years of Our Lives,1902-07-01
146,nm1490123,2014-06-07,2015-03-31,3614 points,James Wan,Saw,1977-02-26
147,nm0504642,2014-01-04,2014-01-04,3603 points,Louis Leterrier,The Incredible Hulk,1973-06-17
148,nm0275629,2016-01-02,2016-01-02,3599 points,Glenn Ficarra,I Love You Phillip Morris,
149,nm0720135,2016-01-02,2016-01-02,3599 points,John Requa,I Love You Phillip Morris,
150,nm0000916,2015-05-21,2017-04-30,3566 points,Peter Berg,Chicago Hope,1964-03-11
151,nm0384825,2014-05-10,2014-05-10,3485 points,John Hillcoat,The Proposition,1961-08-14
152,nm0003620,2017-06-05,2017-06-05,3484 points,Kevin Smith,Clerks,1970-08-02
153,nm0000576,2012-08-18,2012-08-18,3395 points,Sean Penn,Mystic River,1960-08-17
154,nm0197636,2012-08-11,2013-01-18,3384 points,Stephen Daldry,The Reader,1960-05-02
155,nm0923736,2014-11-03,2014-11-03,3365 points,Joss Whedon,Buffy the Vampire Slayer,1964-06-23
156,nm0000466,2012-08-11,2013-04-29,3362 points,Jean-Pierre Jeunet,Un long dimanche de fiançailles,1953-09-03
157,nm0005237,2012-08-11,2012-08-11,3285 points,Anthony Minghella,The Talented Mr. Ripley,1954-01-06
158,nm0267512,2012-08-12,2012-08-12,3281 points,Valerie Faris,Little Miss Sunshine,1958-10-20
159,nm0206760,2012-08-12,2012-08-12,3281 points,Jonathan Dayton,Little Miss Sunshine,1957-07-07
160,nm0000814,2012-08-03,2012-08-04,3246 points,John G. Avildsen,Rocky,1935-12-21
161,nm0001774,2014-07-26,2014-07-26,3202 points,Ben Stiller,Zoolander,1965-11-30
162,nm0001351,2012-07-29,2016-11-12,3165 points,George Roy Hill,The Sting,1921-12-20
163,nm0000485,2012-07-26,2017-05-08,3147 points,Fritz Lang,Le mépris,1890-12-05
164,nm0000682,2012-08-06,2017-03-01,3117 points,Paul Verhoeven,Zwartboek,1938-07-18
165,nm0422484,2015-10-03,2015-10-03,3109 points,Norman Jewison,Jesus Christ Superstar,1926-07-21
166,nm0000484,2012-08-04,2015-07-13,3077 points,John Landis,The Blues Brothers,1950-08-03
167,nm0307497,2016-01-02,2016-01-02,3067 points,Alex Garland,Ex Machina,1970-05-26
168,nm0107774,2013-01-11,2013-01-11,3056 points,Eric Bress,The Butterfly Effect,
169,nm0344259,2013-01-11,2013-01-11,3056 points,J. Mackye Gruber,The Butterfly Effect,
170,nm0000905,2012-08-06,2012-08-06,3022 points,Roberto Benigni,La vita è bella,1952-10-27
171,nm0000406,2012-07-26,2016-05-10,3009 points,John Ford,The Quiet Man,1894-02-01
172,nm0637518,2012-08-26,2017-10-28,2992 points,Phillip Noyce,Rabbit-Proof Fence,1950-04-29
173,nm1349376,2014-01-04,2014-01-04,2927 points,Francis Lawrence,The Hunger Games: Catching Fire,1971-03-26
174,nm0000985,2012-08-06,2012-08-26,2924 points,James L. Brooks,Broadcast News,1940-05-09
175,nm0319659,2015-04-11,2015-04-11,2902 points,Dan Gilroy,Nightcrawler,1959-06-24
176,nm1732981,2012-08-18,2012-08-18,2886 points,Martin McDonagh,In Bruges,1970-03-26
177,nm0853238,2017-03-07,2017-03-07,2859 points,Tate Taylor,Get on Up,1969-06-03
178,nm0001239,2013-06-07,2017-12-03,2857 points,John Frankenheimer,The Manchurian Candidate,1930-02-19
179,nm0955443,2012-08-11,2016-03-28,2851 points,Yimou Zhang,Ying xiong,1951-11-14
180,nm0000269,2012-08-11,2017-11-10,2851 points,Jean-Jacques Annaud,Der Name der Rose,1943-10-01
181,nm0001415,2012-07-27,2014-11-08,2838 points,Elia Kazan,On the Waterfront,1909-09-07
182,nm0531817,2012-08-12,2015-05-01,2826 points,Kevin Macdonald,The Mauritanian,1967-10-28
183,nm0001756,2012-08-06,2012-08-06,2819 points,Barry Sonnenfeld,Men in Black,1953-04-01
184,nm0000123,2012-08-26,2014-02-16,2806 points,George Clooney,The Ides of March,1961-05-06
185,nm0001175,2016-05-02,2016-05-06,2799 points,Blake Edwards,The Pink Panther Strikes Again,1922-07-26
186,nm0868153,2012-08-10,2016-07-29,2784 points,Giuseppe Tornatore,La migliore offerta,1956-05-27
187,nm0001047,2012-08-04,2016-09-06,2773 points,Michael Cimino,The Deer Hunter,1939-02-03
188,nm0640334,2012-10-07,2017-01-15,2767 points,Gavin O'Connor,The Accountant,1963-12-24
189,nm0466349,2016-03-15,2016-05-28,2745 points,Baltasar Kormákur,Mýrin,1966-02-27
190,nm0006960,2012-08-10,2013-02-23,2705 points,John Madden,Shakespeare in Love,1949-04-08
191,nm0000019,2012-07-27,2017-03-15,2701 points,Federico Fellini,8½,1920-01-20
192,nm1016428,2015-05-03,2015-05-03,2654 points,James Marsh,The Theory of Everything,1963-04-30
193,nm2588606,2015-07-16,2015-07-16,2627 points,Steve McQueen,12 Years a Slave,1969-10-09
194,nm0769874,2012-07-29,2016-07-23,2626 points,Franklin J. Schaffner,Patton,1920-05-30
195,nm0161834,2017-04-08,2017-04-08,2620 points,Derek Cianfrance,Blue Valentine,1974-01-23
196,nm0001425,2017-08-11,2017-08-17,2611 points,Krzysztof Kieslowski,Trois couleurs: Bleu,1941-06-27
197,nm0718645,2012-08-04,2012-08-26,2601 points,Ivan Reitman,Up in the Air,1946-10-27
198,nm1053530,2017-04-06,2017-04-06,2580 points,Tom Ford,A Single Man,1961-08-27
199,nm0577647,2017-10-23,2017-10-23,2578 points,Theodore Melfi,Hidden Figures,1970-10-27
200,nm0026442,2012-10-27,2013-03-22,2547 points,Brad Anderson,Session 9,
201,nm0601619,2012-08-12,2012-12-15,2521 points,Michael Moore,Bowling for Columbine,1954-04-23
202,nm0939182,2012-08-11,2014-11-16,2517 points,Kar-Wai Wong,Yi dai zong shi,1956-07-17
203,nm1291105,2013-07-25,2013-07-25,2511 points,J.A. Bayona,El orfanato,1975-05-09
204,nm0518836,2017-07-04,2017-07-04,2478 points,Kenneth Lonergan,Manchester by the Sea,1962-10-16
205,nm0386570,2012-08-12,2012-08-12,2447 points,Oliver Hirschbiegel,Das Experiment,1957-12-29
206,nm0001241,2017-01-15,2017-05-13,2445 points,Stephen Frears,Dangerous Liaisons,1941-06-20
207,nm0001188,2012-08-10,2012-08-19,2414 points,Nora Ephron,Julie & Julia,1941-05-19
208,nm1503575,2017-07-01,2017-07-01,2391 points,Barry Jenkins,If Beale Street Could Talk,1979-11-19
209,nm0936404,2015-01-31,2017-11-12,2386 points,Robert Wise,West Side Story,1914-09-10
210,nm0359734,2012-08-12,2012-12-24,2364 points,Michael Haneke,Caché,1942-03-23
211,nm0003697,2012-08-12,2012-08-12,2313 points,Florian Henckel von Donnersmarck,Das Leben der Anderen,1973-05-02
212,nm0000602,2012-08-05,2014-01-25,2298 points,Robert Redford,The Natural,1936-08-18
213,nm0848414,2017-03-06,2017-06-06,2261 points,Lee Tamahori,Once Were Warriors,1950-04-22
214,nm0000316,2012-07-29,2012-08-03,2251 points,Mel Brooks,Spaceballs,1926-06-28
215,nm0002045,2012-07-27,2015-10-15,2248 points,Stanley Donen,Charade,1924-04-13
216,nm0836328,2016-04-30,2016-04-30,2234 points,John Sturges,The Great Escape,1910-01-03
217,nm0610831,2012-08-12,2012-08-12,2234 points,Gabriele Muccino,Seven Pounds,1967-05-20
218,nm0357891,2012-07-28,2016-08-07,2219 points,Guy Hamilton,Live and Let Die,1922-09-16
219,nm0612322,2012-07-28,2017-03-26,2214 points,Robert Mulligan,To Kill a Mockingbird,1925-08-23
220,nm0000277,2012-08-04,2012-08-05,2175 points,Richard Attenborough,Jurassic Park,1923-08-29
221,nm0000076,2014-07-18,2017-10-12,2172 points,François Truffaut,La nuit américaine,1932-02-06
222,nm0738796,2014-11-08,2014-11-08,2146 points,Mark Romanek,One Hour Photo,1959-09-18
223,nm0006487,2014-08-03,2014-08-03,2141 points,Jim Sheridan,In America,1949-02-06
224,nm0797869,2012-08-10,2012-08-12,2140 points,Brad Silberling,City of Angels,1963-09-08
225,nm0000265,2012-08-11,2017-06-22,2100 points,Robert Altman,Gosford Park,1925-02-20
226,nm1174251,2014-12-15,2017-09-17,2089 points,Daniel Espinosa,Snabba cash,1977-03-23
227,nm0796923,2012-07-27,2017-05-15,2085 points,Don Siegel,Dirty Harry,1912-10-26
228,nm0000126,2014-11-04,2014-11-04,2038 points,Kevin Costner,The Postman,1955-01-18
229,nm0950109,2012-07-28,2016-05-12,2006 points,Terence Young,Dr. No,1915-06-20
230,nm0000976,2012-08-05,2012-08-05,1994 points,Martin Brest,Scent of a Woman,1951-08-08
231,nm0002030,2012-07-26,2017-09-12,1982 points,George Cukor,My Fair Lady,1899-07-07
232,nm0400441,2013-05-11,2015-11-11,1980 points,Allen Hughes,The Book of Eli,1972-04-01
233,nm0000581,2013-10-12,2017-12-06,1974 points,Joseph L. Mankiewicz,All About Eve,1909-02-11
234,nm0770942,2016-09-17,2016-09-17,1969 points,Richard Schenkman,The Man from Earth,1958-03-06
235,nm0359387,2017-07-13,2017-07-13,1964 points,John Lee Hancock,The Blind Side,1956-12-15
236,nm0603628,2012-08-18,2012-08-18,1936 points,Pierre Morel,Banlieue 13,1964-05-12
237,nm1170855,2014-07-21,2015-10-24,1930 points,J.C. Chandor,A Most Violent Year,
238,nm0001603,2013-07-06,2016-09-26,1917 points,Sam Peckinpah,The Wild Bunch,1925-02-21
239,nm0138620,2013-06-07,2013-06-07,1916 points,Joe Carnahan,Smokin' Aces,1969-05-09
240,nm0005190,2013-09-14,2017-07-15,1909 points,Garry Marshall,A League of Their Own,1934-11-13
241,nm0019247,2012-08-26,2012-08-26,1894 points,Tomas Alfredson,Låt den rätte komma in,1965-04-01
242,nm0000797,2016-04-21,2017-04-28,1887 points,Hal Ashby,In the Heat of the Night,1929-09-02
243,nm0002191,2015-05-31,2017-03-05,1847 points,Jacques Audiard,De rouille et d'os,1952-04-30
244,nm0000816,2013-10-31,2013-10-31,1842 points,Jon Avnet,Fried Green Tomatoes,1949-11-17
245,nm0000934,2012-08-06,2015-06-29,1833 points,Bernardo Bertolucci,Il conformista,1941-03-16
246,nm0001532,2014-05-24,2014-05-24,1821 points,John McTiernan,Die Hard,1951-01-08
247,nm0001093,2017-05-01,2017-05-01,1817 points,John Dahl,The Last Seduction,
248,nm0001112,2013-01-06,2013-01-06,1775 points,Andrew Davis,The Fugitive,1946-11-21
249,nm0834902,2015-01-20,2015-01-20,1772 points,Robert Stromberg,Avatar,
250,nm0003593,2016-07-24,2017-06-02,1753 points,Fred Zinnemann,A Man for All Seasons,1907-04-29
251,nm0001490,2015-03-16,2015-03-16,1745 points,Adrian Lyne,Jacob's Ladder,1941-03-04
252,nm0000320,2012-07-28,2017-07-29,1734 points,Luis Buñuel,Belle de jour,1900-02-22
253,nm0715636,2012-08-18,2012-08-18,1731 points,Peyton Reed,Ant-Man,1964-07-03
254,nm0229694,2015-08-23,2015-08-23,1719 points,David Dobkin,The Judge,1969-06-23
255,nm0005139,2012-08-06,2017-07-12,1702 points,Mike Leigh,Secrets & Lies,1943-02-20
256,nm0715346,2013-10-20,2017-05-04,1685 points,Carol Reed,The Third Man,1906-12-30
257,nm1410815,2012-08-26,2017-02-26,1675 points,Asghar Farhadi,Forushande,1972-05-07
258,nm0001348,2013-01-27,2015-01-02,1665 points,Werner Herzog,Fitzcarraldo,1942-09-05
259,nm0771054,2012-08-26,2012-08-26,1657 points,Lone Scherfig,An Education,1959-05-02
260,nm0570912,2016-03-06,2016-03-06,1655 points,Adam McKay,Don't Look Up,1968-04-17
261,nm0281508,2014-01-04,2014-01-04,1655 points,Ruben Fleischer,Zombieland,1974-10-31
262,nm0585011,2012-08-11,2015-09-14,1653 points,Roger Michell,Notting Hill,1956-06-05
263,nm0001149,2015-06-17,2015-06-17,1651 points,Richard Donner,Superman,1930-04-24
264,nm0853380,2012-08-18,2012-08-18,1641 points,Julie Taymor,Frida,1952-12-15
265,nm0625458,2016-05-09,2016-05-09,1638 points,Jessie Nelson,I Am Sam,1955-06-02
266,nm0000568,2013-05-11,2013-05-11,1632 points,Frank Oz,The Muppet Show,1944-05-25
267,nm0000037,2012-07-27,2012-08-03,1626 points,Gene Kelly,Singin' in the Rain,1912-08-23
268,nm0812200,2013-10-25,2013-10-25,1622 points,Iain Softley,Backbeat,
269,nm0001353,2014-05-24,2015-06-09,1620 points,Walter Hill,48 Hrs.,1942-01-10
270,nm0000776,2014-09-29,2014-09-29,1612 points,Michael Apted,Rome,1941-02-10
271,nm0138809,2017-04-15,2017-04-15,1602 points,John Carney,Sing Street,
272,nm0958387,2014-02-28,2014-02-28,1591 points,Jerry Zucker,Airplane!,1950-03-11
273,nm0006854,2014-09-22,2014-09-22,1576 points,Roger Spottiswoode,48 Hrs.,1945-01-05
274,nm0001130,2012-08-11,2012-08-11,1571 points,Ted Demme,Blow,1963-10-26
275,nm0594503,2013-10-25,2013-10-25,1557 points,Hayao Miyazaki,Sen to Chihiro no kamikakushi,1941-01-05
276,nm0440913,2012-08-06,2013-07-13,1555 points,Mathieu Kassovitz,Le fabuleux destin d'Amélie Poulain,1967-08-03
277,nm0094435,2017-06-11,2017-06-11,1537 points,Bong Joon Ho,Snowpiercer,1969-09-14
